filename,battery_id,Capacity,T_mean,R0,R1,C1,R2,C2
00001.csv,B0047,1.67430474469752,8.08404650208167,0.006905128497834,0.999971746486675,13328.9528763132,0.99999906316649,13391.5616285824
00005.csv,B0047,1.5243662105099,8.03854657917188,0.0346510626289903,0.999037434983744,13531.3414020013,0.999268988206434,13693.799037686
00007.csv,B0047,1.50807629699734,7.74940670558533,0.0316457208814464,0.999604821758192,12956.2040365785,0.999740180813049,12977.2587976935
00009.csv,B0047,1.48355779600677,7.85930684820678,0.0268876953137808,0.999241798138932,12530.7143833297,0.999541959302611,12763.3386384995
00011.csv,B0047,1.46713916661465,7.92491352607787,0.0275133690351929,0.999758222221205,12391.3474977965,0.999864683343052,12268.4575875903
00013.csv,B0047,1.44885815698227,7.92214034945238,0.0281027352162463,0.998585644075827,12048.6723172324,0.999211630755231,11965.0429629908
00017.csv,B0047,1.44585341809493,7.98589248006109,0.0100789962096393,0.999999817456348,12150.7015345236,0.99999985944424,12223.3923138776
00021.csv,B0047,1.43111826617828,8.07558813793734,0.0193040715729131,0.998705086656925,11572.1532550274,0.999280160874048,11604.0662686511
00023.csv,B0047,1.41927455165785,8.03661214795013,0.0139683393600408,0.999413044743438,11078.4530171878,0.999664082411532,11067.6305413872
00025.csv,B0047,1.39999742218083,8.06083714746453,0.0222338761542445,0.999999997710443,10898.8972704014,0.999999998350762,10903.0400070976
00027.csv,B0047,1.38851566861144,8.12524710275127,0.00929613408536491,0.999987531700939,10693.5656059537,0.999990385392382,10522.3496497865
00029.csv,B0047,1.3652234669529,8.09556098580308,0.0140895431380697,0.999998762742417,10257.0697689914,0.999970818143876,10297.4249095867
00033.csv,B0047,1.4060442272971,8.12495662340327,0.00390610675294416,0.999999987446112,12130.6080365664,0.999999999518211,12067.0843579353
00037.csv,B0047,1.40575416135258,8.08090750713035,0.00725278305800721,0.999999999993384,11038.5252425238,0.999999998588906,11063.8147384818
00039.csv,B0047,1.38676628817279,8.18061996771364,0.0102405863379955,0.99999023289926,10663.0295315716,0.999993529116258,10692.6892398639
00041.csv,B0047,1.37050530614202,8.16448451832542,0.00670517172849021,0.999999138908718,10242.6833562501,0.999998241571942,10282.0875870627
00043.csv,B0047,1.34974311148236,8.24239867696928,0.00321942199748255,0.999998862557534,9933.78851320666,0.999999246897321,9934.75952727492
00045.csv,B0047,1.32515333679398,8.22407573550559,0.00167047791456178,0.9999930167138,9696.07568314163,0.999994322931553,9744.4304753035
00049.csv,B0047,1.31119438696358,8.1584677121886,2.14879906969724e-08,0.999999999999978,9508.96576920262,0.999999999999978,9465.82825391676
00051.csv,B0047,0,7.28575075866337,0.0195761049622718,0.342316632109435,4444.00197237752,0.217245690529857,9148.04920115593
